UF;MUNICIPIO;TIPO DE VEÍCULO;QUANTIDADE
AC;CRUZEIRO DO SUL;SEMI-REBOQUE;188
AC;CRUZEIRO DO SUL;SIDE-CAR;0
AC;CRUZEIRO DO SUL;OUTROS;1
AC;CRUZEIRO DO SUL;TRATOR ESTEI;0
AC;CRUZEIRO DO SUL;TRATOR RODAS;0
AC;CRUZEIRO DO SUL;TRICICLO;10
AC;CRUZEIRO DO SUL;UTILITARIO;123
AC;EPITACIOLANDIA;AUTOMOVEL;1856
AC;EPITACIOLANDIA;BONDE;0
AC;EPITACIOLANDIA;CAMINHAO;252
AC;EPITACIOLANDIA;CAMINHAO TRATOR;114
AC;EPITACIOLANDIA;CAMINHONETE;866
AC;EPITACIOLANDIA;CAMIONETA;86
AC;EPITACIOLANDIA;CHASSI PLATAF;0
AC;EPITACIOLANDIA;CICLOMOTOR;4
AC;EPITACIOLANDIA;MICRO-ONIBUS;8
AC;EPITACIOLANDIA;MOTOCICLETA;2510
AC;EPITACIOLANDIA;MOTONETA;755
AC;EPITACIOLANDIA;ONIBUS;16
AC;EPITACIOLANDIA;QUADRICICLO;0
AC;EPITACIOLANDIA;REBOQUE;105
AC;EPITACIOLANDIA;SEMI-REBOQUE;155
AC;EPITACIOLANDIA;SIDE-CAR;0
AC;EPITACIOLANDIA;OUTROS;0
AC;EPITACIOLANDIA;TRATOR ESTEI;0
AC;EPITACIOLANDIA;TRATOR RODAS;0
AC;EPITACIOLANDIA;TRICICLO;3
AC;EPITACIOLANDIA;UTILITARIO;16
AC;FEIJO;AUTOMOVEL;600
AC;FEIJO;BONDE;0
AC;FEIJO;CAMINHAO;119
AC;FEIJO;CAMINHAO TRATOR;5
AC;FEIJO;CAMINHONETE;355
AC;FEIJO;CAMIONETA;35
AC;FEIJO;CHASSI PLATAF;0
AC;FEIJO;CICLOMOTOR;33
AC;FEIJO;MICRO-ONIBUS;3
AC;FEIJO;MOTOCICLETA;2170
AC;FEIJO;MOTONETA;654
AC;FEIJO;ONIBUS;12
AC;FEIJO;QUADRICICLO;0
AC;FEIJO;REBOQUE;17
AC;FEIJO;SEMI-REBOQUE;9
AC;FEIJO;SIDE-CAR;0
AC;FEIJO;OUTROS;0
AC;FEIJO;TRATOR ESTEI;0
AC;FEIJO;TRATOR RODAS;0
AC;FEIJO;TRICICLO;5
AC;FEIJO;UTILITARIO;14
AC;JORDAO;AUTOMOVEL;11
AC;JORDAO;BONDE;0
AC;JORDAO;CAMINHAO;6
AC;JORDAO;CAMINHAO TRATOR;0
AC;JORDAO;CAMINHONETE;13
AC;JORDAO;CAMIONETA;1
AC;JORDAO;CHASSI PLATAF;0
AC;JORDAO;CICLOMOTOR;0
AC;JORDAO;MICRO-ONIBUS;0
AC;JORDAO;MOTOCICLETA;70
AC;JORDAO;MOTONETA;32
AC;JORDAO;ONIBUS;0
AC;JORDAO;QUADRICICLO;0
AC;JORDAO;REBOQUE;0
AC;JORDAO;SEMI-REBOQUE;0
AC;JORDAO;SIDE-CAR;0
AC;JORDAO;OUTROS;0
AC;JORDAO;TRATOR ESTEI;0
AC;JORDAO;TRATOR RODAS;0
AC;JORDAO;TRICICLO;0
AC;JORDAO;UTILITARIO;0
AC;MANCIO LIMA;AUTOMOVEL;673
AC;MANCIO LIMA;BONDE;0
AC;MANCIO LIMA;CAMINHAO;101
AC;MANCIO LIMA;CAMINHAO TRATOR;3
AC;MANCIO LIMA;CAMINHONETE;325
AC;MANCIO LIMA;CAMIONETA;30
AC;MANCIO LIMA;CHASSI PLATAF;0
AC;MANCIO LIMA;CICLOMOTOR;1
AC;MANCIO LIMA;MICRO-ONIBUS;5
AC;MANCIO LIMA;MOTOCICLETA;2157
AC;MANCIO LIMA;MOTONETA;543
AC;MANCIO LIMA;ONIBUS;18
AC;MANCIO LIMA;QUADRICICLO;0
AC;MANCIO LIMA;REBOQUE;1
AC;MANCIO LIMA;SEMI-REBOQUE;4
AC;MANCIO LIMA;SIDE-CAR;0
AC;MANCIO LIMA;OUTROS;0
AC;MANCIO LIMA;TRATOR ESTEI;0
AC;MANCIO LIMA;TRATOR RODAS;0
AC;MANCIO LIMA;TRICICLO;0
AC;MANCIO LIMA;UTILITARIO;5
AC;MANOEL URBANO;AUTOMOVEL;224
AC;MANOEL URBANO;BONDE;0
AC;MANOEL URBANO;CAMINHAO;57
AC;MANOEL URBANO;CAMINHAO TRATOR;5
AC;MANOEL URBANO;CAMINHONETE;154
AC;MANOEL URBANO;CAMIONETA;7
AC;MANOEL URBANO;CHASSI PLATAF;0
AC;MANOEL URBANO;CICLOMOTOR;2
AC;MANOEL URBANO;MICRO-ONIBUS;0
AC;MANOEL URBANO;MOTOCICLETA;597
AC;MANOEL URBANO;MOTONETA;113
AC;MANOEL URBANO;ONIBUS;5
AC;MANOEL URBANO;QUADRICICLO;0
AC;MANOEL URBANO;REBOQUE;25
AC;MANOEL URBANO;SEMI-REBOQUE;8
AC;MANOEL URBANO;SIDE-CAR;0
AC;MANOEL URBANO;OUTROS;0
AC;MANOEL URBANO;TRATOR ESTEI;0
